Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Number_of_vehicles_involved,Number_of_casualties,Time,Accident_severity
18-30,Male,Above high school,Employee,1-2yr,Unknown,No junction,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,Going straight,Not a Pedestrian,Moving Backward,2,2,17:02:00,Fatal
31-50,Male,Junior high school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,2,2,17:02:00,Fatal
18-30,Male,Junior high school,Employee,1-2yr,other,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the left,2,2,17:02:00,Serious
18-30,Male,Junior high school,Employee,5-10yr,other,Y Shape,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,2,1:06:00,Fatal
18-30,Male,Junior high school,Employee,2-5yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,2,2,1:06:00,Fatal
31-50,Male,Unknown,Unknown,Unknown,Unknown,Y Shape,Unknown,Daylight,Normal,Vehicle with vehicle collision,U-Turn,Not a Pedestrian,Overloading,1,1,14:15:00,Fatal
18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,Crossing,Unknown,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Other,1,1,17:30:00,Fatal
18-30,Male,Junior high school,Employee,2-5yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,U-Turn,Not a Pedestrian,No priority to vehicle,2,1,17:20:00,Fatal
18-30,Male,Junior high school,Employee,Above 10yr,other,Y Shape,Earth roads,Daylight,Normal,Collision with roadside-parked vehicles,Going straight,Crossing from driver's nearside,Changing lane to the right,2,1,17:20:00,Fatal
18-30,Male,Junior high school,Employee,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,U-Turn,Not a Pedestrian,Moving Backward,2,1,17:20:00,Serious
18-30,Male,Above high school,Owner,1-2yr,other,No junction,Asphalt roads,Daylight,Normal,Collision with animals,Turnover,Not a Pedestrian,Changing lane to the left,2,1,14:40:00,Serious
31-50,Male,Above high school,Employee,No Licence,Undivided Two way,No junction,Earth roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,No priority to pedestrian,2,1,14:40:00,Serious
18-30,Male,Junior high school,Employee,1-2yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,No distancing,2,2,17:45:00,Fatal
31-50,Male,Junior high school,Employee,5-10yr,other,No junction,Asphalt roads,Daylight,Normal,Collision with animals,Waiting to go,Not a Pedestrian,No priority to vehicle,2,2,17:45:00,Fatal
31-50,Male,Junior high school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,No distancing,2,2,17:45:00,Serious
18-30,Female,Junior high school,Employee,Above 10yr,One way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with animals,Going straight,Not a Pedestrian,No distancing,2,3,22:45:00,Serious
18-30,Male,Junior high school,Owner,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with animals,Going straight,Not a Pedestrian,Moving Backward,2,3,22:45:00,Fatal
18-30,Male,Elementary school,Employee,2-5yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with animals,Going straight,Not a Pedestrian,Changing lane to the right,2,3,22:45:00,Serious
18-30,Male,Junior high school,Employee,2-5yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with animals,Moving Backward,Not a Pedestrian,No priority to pedestrian,2,3,22:45:00,Fatal
18-30,Male,Junior high school,Employee,Below 1yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,Moving Backward,2,1,8:20:00,Serious
Under 18,Male,Junior high school,Employee,2-5yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,Getting off the vehicle improperly,2,1,8:20:00,Fatal
18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with animals,Moving Backward,Not a Pedestrian,Overtaking,1,1,15:10:00,Serious
18-30,Male,Elementary school,Employee,5-10yr,other,Y Shape,Asphalt roads,Daylight,Normal,Other,Getting off,Not a Pedestrian,Overloading,2,1,12:11:00,Serious
31-50,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Rollover,Reversing,Not a Pedestrian,Changing lane to the right,2,1,12:11:00,Serious
18-30,Male,Unknown,Unknown,Unknown,other,Crossing,Asphalt roads with some distress,Daylight,Normal,Collision with animals,Turnover,Not a Pedestrian,Improper parking,2,3,18:36:00,Fatal
18-30,Male,Junior high school,Employee,2-5yr,other,Crossing,Asphalt roads,Daylight,Normal,Rollover,Going straight,Not a Pedestrian,Other,2,3,18:36:00,Fatal
18-30,Unknown,Junior high school,Employee,5-10yr,Double carriageway (median),Crossing,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the left,2,3,18:36:00,Fatal
18-30,Male,Above high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,Changing lane to the right,1,1,14:35:00,Fatal
Over 51,Unknown,Unknown,Unknown,Unknown,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2,1,12:25:00,Fatal
18-30,Male,Unknown,Employee,1-2yr,other,No junction,Asphalt roads,Daylight,Normal,Fall from vehicles,Going straight,Not a Pedestrian,Overspeed,2,1,12:25:00,Fatal
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with solid lines road marking),Crossing,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,Going straight,Not a Pedestrian,Changing lane to the left,1,1,15:30:00,Fatal
18-30,Male,Junior high school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,Moving Backward,Not a Pedestrian,No priority to vehicle,1,1,18:10:00,Fatal
18-30,Male,Junior high school,Employee,Below 1yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Rollover,Reversing,Not a Pedestrian,Changing lane to the right,2,1,15:25:00,Fatal
31-50,Unknown,Junior high school,Employee,2-5yr,other,No junction,Asphalt roads,Daylight,Normal,Collision with animals,Turnover,Not a Pedestrian,No distancing,2,1,15:25:00,Fatal
Over 51,Male,Junior high school,Employee,Below 1yr,Undivided Two way,O Shape,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,No priority to pedestrian,2,1,13:57:00,Fatal
18-30,Male,High school,Employee,5-10yr,Undivided Two way,O Shape,Asphalt roads,Daylight,Normal,Fall from vehicles,Going straight,Unknown or other,No distancing,2,1,13:57:00,Fatal
18-30,Male,Above high school,Employee,1-2yr,Double carriageway (median),Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside-parked vehicles,Going straight,Not a Pedestrian,No priority to vehicle,2,2,20:30:00,Fatal
Over 51,Male,Junior high school,Employee,Below 1yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with animals,Going straight,Not a Pedestrian,Other,2,2,20:30:00,Fatal
Over 51,Male,Unknown,Unknown,Unknown,other,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with animals,Going straight,Not a Pedestrian,Driving carelessly,2,2,20:30:00,Fatal
Over 51,Male,High school,Employee,Below 1yr,other,No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Changing lane to the left,2,1,16:30:00,Fatal
31-50,Male,High school,Employee,Below 1yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,1,16:30:00,Fatal
31-50,Male,Unknown,Unknown,Unknown,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,2,21:50:00,Fatal
18-30,Male,High school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,No priority to vehicle,2,2,21:50:00,Fatal
18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,2,1,9:12:00,Fatal
18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Gravel roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right,2,1,9:12:00,Fatal
31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,1,1,14:40:00,Serious
31-50,Male,Junior high school,Employee,1-2yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving at high speed,2,1,10:36:00,Fatal
31-50,Male,Unknown,Employee,Below 1yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,1,10:36:00,Fatal
18-30,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Rollover,Going straight,Not a Pedestrian,Changing lane to the right,2,1,18:19:00,Fatal
18-30,Male,High school,Employee,2-5yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,1,18:19:00,Fatal
18-30,Male,Junior high school,Owner,1-2yr,Two-way (divided with broken lines road marking),Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Getting off the vehicle improperly,2,1,19:12:00,Fatal
31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,2,1,19:12:00,Fatal
Over 51,Male,Elementary school,Employee,2-5yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Other,2,3,11:38:00,Fatal
31-50,Male,Elementary school,Owner,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,3,11:38:00,Fatal
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to vehicle,2,3,11:38:00,Fatal
18-30,Unknown,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,2,3,11:38:00,Fatal
18-30,Male,High school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Rollover,Going straight,Not a Pedestrian,No priority to pedestrian,2,1,13:30:00,Fatal
31-50,Male,Junior high school,Employee,5-10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,1,13:30:00,Fatal
18-30,Unknown,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,1,12:39:00,Fatal
Over 51,Male,Junior high school,Unknown,1-2yr,Two-way (divided with broken lines road marking),Unknown,Gravel roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,1,12:39:00,Fatal
18-30,Male,Junior high school,Employee,2-5yr,Unknown,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,1,12:30:00,Fatal
31-50,Male,Junior high school,Employee,1-2yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,2,1,12:30:00,Fatal
31-50,Male,Unknown,Unknown,Unknown,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Other,2,1,16:55:00,Fatal
31-50,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving to the left,2,1,16:55:00,Fatal
Unknown,Female,Junior high school,Employee,5-10yr,One way,No junction,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving at high speed,2,1,18:25:00,Fatal
31-50,Male,Junior high school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Unknown,2,1,18:25:00,Fatal
31-50,Unknown,Junior high school,Employee,2-5yr,Undivided Two way,O Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right,2,1,13:01:00,Fatal
18-30,Male,Junior high school,Owner,Above 10yr,other,O Shape,Unknown,Daylight,Normal,Vehicle with vehicle collision,Unknown,Not a Pedestrian,No distancing,2,1,13:01:00,Fatal
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,2,1,13:45:00,Fatal
31-50,Male,Elementary school,Other,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,1,13:45:00,Fatal
18-30,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Unknown,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Changing lane to the left,2,1,18:45:00,Fatal
31-50,Male,Junior high school,Unknown,5-10yr,Double carriageway (median),Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to pedestrian,2,1,18:45:00,Fatal
31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,1,4,11:02:00,Fatal
31-50,Male,Elementary school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,1,4,11:02:00,Fatal
31-50,Male,Junior high school,Unknown,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,1,4,11:02:00,Fatal
31-50,Male,Junior high school,Employee,5-10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,1,4,11:02:00,Fatal
Over 51,Male,Elementary school,Employee,1-2yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Changing lane to the right,1,1,15:55:00,Serious
Over 51,Unknown,Unknown,Unknown,Unknown,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,1,1,15:00:00,Fatal
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Earth roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right,2,1,20:00:00,Fatal
Under 18,Male,High school,Owner,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,1,20:00:00,Fatal
31-50,Male,Junior high school,Employee,1-2yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Changing lane to the left,2,1,18:48:00,Serious
31-50,Male,Junior high school,Employee,1-2yr,Double carriageway (median),Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Overturning,2,1,18:48:00,Serious
Over 51,Male,Above high school,Owner,2-5yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Driving carelessly,1,2,15:55:00,Fatal
Over 51,Male,Unknown,Unknown,Unknown,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,No distancing,1,2,15:55:00,Fatal
Over 51,Unknown,Elementary school,Owner,2-5yr,other,Crossing,Asphalt roads,Darkness - lights lit,Normal,Rollover,Going straight,Not a Pedestrian,Driving carelessly,2,3,23:25:00,Fatal
Over 51,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,3,23:25:00,Fatal
31-50,Male,Unknown,Owner,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,No priority to vehicle,2,3,23:25:00,Fatal
18-30,Unknown,Junior high school,Employee,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,1,7:40:00,Serious
18-30,Male,Junior high school,Employee,2-5yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,1,7:40:00,Serious
